1.372100000000000080e+02,4.583600000000000136e+02,1.568300000000000125e+02,4.607799999999999727e+02,1.483499999999999943e+02,5.294099999999999682e+02,1.287199999999999989e+02,5.269900000000000091e+02
1.300399999999999920e+02,4.683500000000000227e+02,1.515800000000000125e+02,4.677200000000000273e+02,1.536399999999999864e+02,5.378600000000000136e+02,1.320999999999999943e+02,5.385000000000000000e+02
1.330800000000000125e+02,5.080500000000000114e+02,1.507899999999999920e+02,5.036499999999999773e+02,1.677100000000000080e+02,5.717000000000000455e+02,1.499900000000000091e+02,5.761000000000000227e+02
1.487199999999999989e+02,5.601900000000000546e+02,1.682199999999999989e+02,5.552300000000000182e+02,1.853400000000000034e+02,6.226299999999999955e+02,1.658400000000000034e+02,6.275900000000000318e+02
1.611100000000000136e+02,5.728500000000000227e+02,1.810300000000000011e+02,5.737799999999999727e+02,1.778300000000000125e+02,6.425499999999999545e+02,1.579099999999999966e+02,6.416299999999999955e+02
1.605500000000000114e+02,5.781799999999999500e+02,1.798000000000000114e+02,5.797899999999999636e+02,1.740699999999999932e+02,6.482200000000000273e+02,1.548199999999999932e+02,6.466100000000000136e+02
1.600900000000000034e+02,5.807599999999999909e+02,1.794499999999999886e+02,5.826100000000000136e+02,1.728499999999999943e+02,6.519099999999999682e+02,1.534799999999999898e+02,6.500599999999999454e+02
1.585099999999999909e+02,5.827799999999999727e+02,1.762899999999999920e+02,5.817100000000000364e+02,1.805699999999999932e+02,6.529800000000000182e+02,1.627800000000000011e+02,6.540399999999999636e+02
1.552299999999999898e+02,5.852400000000000091e+02,1.760200000000000102e+02,5.803500000000000227e+02,1.920800000000000125e+02,6.485700000000000500e+02,1.712899999999999920e+02,6.534600000000000364e+02
1.538700000000000045e+02,5.870299999999999727e+02,1.726999999999999886e+02,5.794099999999999682e+02,1.976599999999999966e+02,6.411399999999999864e+02,1.788300000000000125e+02,6.487500000000000000e+02
1.547800000000000011e+02,5.886399999999999864e+02,1.734499999999999886e+02,5.805000000000000000e+02,2.000000000000000000e+02,6.413899999999999864e+02,1.813199999999999932e+02,6.495299999999999727e+02
1.560300000000000011e+02,5.876900000000000546e+02,1.752899999999999920e+02,5.809299999999999500e+02,1.980200000000000102e+02,6.456200000000000045e+02,1.787599999999999909e+02,6.523899999999999864e+02
1.566200000000000045e+02,5.880900000000000318e+02,1.766999999999999886e+02,5.811100000000000136e+02,1.995600000000000023e+02,6.468999999999999773e+02,1.794699999999999989e+02,6.538799999999999955e+02
1.558499999999999943e+02,5.910900000000000318e+02,1.732100000000000080e+02,5.817100000000000364e+02,2.062400000000000091e+02,6.428500000000000227e+02,1.888799999999999955e+02,6.522300000000000182e+02
1.545900000000000034e+02,5.921000000000000227e+02,1.718100000000000023e+02,5.832100000000000364e+02,2.038499999999999943e+02,6.452599999999999909e+02,1.866299999999999955e+02,6.541499999999999773e+02
